Order_ID,Date,Region,SKU,Channel,Price,Quantity,Revenue,Profit,Customer_Type,Return_Flag
RHYS-1000,2024-10-07,Bengaluru,Dragon Tee,Website,600,1,600,306.0,Returning,0
RHYS-1001,2024-06-24,Bengaluru,College Pop Tee,Website,650,2,1300,663.0,New,0
RHYS-1002,2025-01-05,Bengaluru,Dragon Tee,Website,600,1,600,306.0,New,0
RHYS-1003,2025-01-09,Mumbai,Minimal Logo Tee,Website,650,1,650,331.5,New,1
RHYS-1004,2024-07-25,Bengaluru,Dragon Tee,Website,600,2,1200,612.0,New,0
RHYS-1005,2024-09-07,Mumbai,Classic Black Tee,Website,600,1,600,306.0,New,0
RHYS-1006,2025-02-25,Mumbai,Minimal Logo Tee,Website,600,1,600,306.0,Returning,0
RHYS-1007,2024-10-19,Bengaluru,Classic Black Tee,Website,600,1,600,306.0,New,0
RHYS-1008,2024-10-30,Bengaluru,Streetwear Hoodie,Website,600,1,600,306.0,New,0
RHYS-1009,2024-03-28,Pune,Streetwear Hoodie,College Stall,600,2,1200,612.0,Returning,0
RHYS-1010,2024-06-21,Mumbai,Classic Black Tee,College Stall,600,1,600,306.0,Returning,0
RHYS-1011,2024-07-09,Bengaluru,Classic Black Tee,Website,600,1,600,306.0,Returning,0
RHYS-1012,2024-12-21,Mumbai,Dragon Tee,Website,550,1,550,280.5,New,0
RHYS-1013,2025-01-05,Bengaluru,Streetwear Hoodie,College Stall,700,1,700,357.0,Returning,0
RHYS-1014,2025-02-23,Mumbai,Classic Black Tee,Website,550,1,550,280.5,New,0
RHYS-1015,2024-11-20,Bengaluru,Dragon Tee,College Stall,550,1,550,280.5,New,0
RHYS-1016,2024-06-24,Bengaluru,College Pop Tee,Website,700,1,700,357.0,Returning,0
RHYS-1017,2024-08-19,Bengaluru,Streetwear Hoodie,Website,650,2,1300,663.0,New,0
RHYS-1018,2024-03-18,Mumbai,Dragon Tee,College Stall,600,1,600,306.0,Returning,0
RHYS-1019,2024-12-23,Mumbai,Dragon Tee,Website,600,1,600,306.0,New,0
RHYS-1020,2024-05-13,Hyderabad,College Pop Tee,Website,650,1,650,331.5,Returning,0
RHYS-1021,2024-12-01,Mumbai,Minimal Logo Tee,Website,600,1,600,306.0,New,0
